"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2021-08","Aug-2021","IDX","Index","0","Units","2010_100","2010=100",97.84872,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2021-09","Sep-2021","IDX","Index","0","Units","2010_100","2010=100",97.73436,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2021-10","Oct-2021","IDX","Index","0","Units","2010_100","2010=100",99.78727,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2021-11","Nov-2021","IDX","Index","0","Units","2010_100","2010=100",98.55145,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2021-12","Dec-2021","IDX","Index","0","Units","2010_100","2010=100",96.76944,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-01","Jan-2022","IDX","Index","0","Units","2010_100","2010=100",98.29756,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-02","Feb-2022","IDX","Index","0","Units","2010_100","2010=100",97.28321,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-03","Mar-2022","IDX","Index","0","Units","2010_100","2010=100",100.448,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-04","Apr-2022","IDX","Index","0","Units","2010_100","2010=100",103.5795,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-05","May-2022","IDX","Index","0","Units","2010_100","2010=100",100.7353,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-06","Jun-2022","IDX","Index","0","Units","2010_100","2010=100",100.4335,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-07","Jul-2022","IDX","Index","0","Units","2010_100","2010=100",100.9098,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-08","Aug-2022","IDX","Index","0","Units","2010_100","2010=100",102.4748,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-09","Sep-2022","IDX","Index","0","Units","2010_100","2010=100",100.7105,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-10","Oct-2022","IDX","Index","0","Units","2010_100","2010=100",98.98202,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-11","Nov-2022","IDX","Index","0","Units","2010_100","2010=100",100.606,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2022-12","Dec-2022","IDX","Index","0","Units","2010_100","2010=100",100.0673,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-01","Jan-2023","IDX","Index","0","Units","2010_100","2010=100",101.9191,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-02","Feb-2023","IDX","Index","0","Units","2010_100","2010=100",101.9951,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-03","Mar-2023","IDX","Index","0","Units","2010_100","2010=100",99.13645,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-04","Apr-2023","IDX","Index","0","Units","2010_100","2010=100",99.14958,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-05","May-2023","IDX","Index","0","Units","2010_100","2010=100",99.65182,,
"CCRETT01","Relative consumer price indices","AUS","Australia","M","Monthly","2023-06","Jun-2023","IDX","Index","0","Units","2010_100","2010=100",101.784,,
