"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCRETT02","Relative unit labour costs","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2010_100","2010=100",95.02652,,
"CCRETT02","Relative unit labour costs","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2010_100","2010=100",98.98205,,
"CCRETT02","Relative unit labour costs","AUS","Australia","A","Annual","2022","2022","IDX","Index","0","Units","2010_100","2010=100",99.17769,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2010_100","2010=100",90.39989,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2010_100","2010=100",93.23028,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2010_100","2010=100",99.72047,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2010_100","2010=100",96.75543,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2010_100","2010=100",100.406,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2010_100","2010=100",100.6609,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2010_100","2010=100",98.69055,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2010_100","2010=100",96.17078,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2010_100","2010=100",96.2065,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2010_100","2010=100",100.1881,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2010_100","2010=100",101.1081,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2022-Q4","Q4-2022","IDX","Index","0","Units","2010_100","2010=100",99.20805,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2023-Q1","Q1-2023","IDX","Index","0","Units","2010_100","2010=100",101.0737,,
"CCRETT02","Relative unit labour costs","AUS","Australia","Q","Quarterly","2023-Q2","Q2-2023","IDX","Index","0","Units","2010_100","2010=100",100.5886,,
"CCRETT02","Relative unit labour costs","AUT","Austria","A","Annual","2020","2020","IDX","Index","0","Units","2010_100","2010=100",103.4002,,
"CCRETT02","Relative unit labour costs","AUT","Austria","A","Annual","2021","2021","IDX","Index","0","Units","2010_100","2010=100",102.9915,,
"CCRETT02","Relative unit labour costs","AUT","Austria","A","Annual","2022","2022","IDX","Index","0","Units","2010_100","2010=100",100.5431,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2010_100","2010=100",100.7015,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2010_100","2010=100",105.7599,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2010_100","2010=100",102.1106,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2010_100","2010=100",105.0289,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2010_100","2010=100",104.0057,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2010_100","2010=100",104.1076,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2010_100","2010=100",101.3306,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2010_100","2010=100",102.522,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2010_100","2010=100",101.1707,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2010_100","2010=100",100.6448,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2010_100","2010=100",99.99652,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2022-Q4","Q4-2022","IDX","Index","0","Units","2010_100","2010=100",100.3603,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2023-Q1","Q1-2023","IDX","Index","0","Units","2010_100","2010=100",102.1963,,
"CCRETT02","Relative unit labour costs","AUT","Austria","Q","Quarterly","2023-Q2","Q2-2023","IDX","Index","0","Units","2010_100","2010=100",103.6001,,
"CCRETT02","Relative unit labour costs","BEL","Belgium","A","Annual","2020","2020","IDX","Index","0","Units","2010_100","2010=100",101.5881,,
"CCRETT02","Relative unit labour costs","BEL","Belgium","A","Annual","2021","2021","IDX","Index","0","Units","2010_100","2010=100",101.583,,
"CCRETT02","Relative unit labour costs","BEL","Belgium","A","Annual","2022","2022","IDX","Index","0","Units","2010_100","2010=100",101.7331,,
