"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SP","Share Prices, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.1882,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",130.4751,,
"SP","Share Prices, Index","AUS","Australia","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",128.3665,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",117.4883,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",101.6897,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",109.3695,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",116.2053,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",123.1831,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",129.6213,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",135.0823,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",134.0138,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",131.62,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",130.1197,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2015_100","2015=100",124.2215,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2022-Q4","Q4-2022","IDX","Index","0","Units","2015_100","2015=100",127.5049,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2023-Q1","Q1-2023","IDX","Index","0","Units","2015_100","2015=100",132.4237,,
"SP","Share Prices, Index","AUS","Australia","Q","Quarterly","2023-Q2","Q2-2023","IDX","Index","0","Units","2015_100","2015=100",131.7408,,
"SP","Share Prices, Index","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",126.5437,,
"SP","Share Prices, Index","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",127.1267,,
"SP","Share Prices, Index","AUS","Australia","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",98.79449,,
