"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",181.7957,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",218.1755,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",242.9206,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",161.8155,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",179.8378,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",188.4678,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",197.0617,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",205.5325,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",211.9036,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",222.4089,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",232.8571,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",241.1985,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",246.1361,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2015_100","2015=100",243.5651,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2022-Q4","Q4-2022","IDX","Index","0","Units","2015_100","2015=100",240.7826,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2023-Q1","Q1-2023","IDX","Index","0","Units","2015_100","2015=100",239.814,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","Q","Quarterly","2023-Q2","Q2-2023","IDX","Index","0","Units","2015_100","2015=100",237.5301,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",158.2884,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",160.041,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",167.117,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",176.561,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",180.3946,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",182.5577,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",185.6346,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",188.5886,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",191.1801,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",193.9837,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2015_100","2015=100",197.1739,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units","2015_100","2015=100",200.0275,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units","2015_100","2015=100",202.9443,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units","2015_100","2015=100",205.822,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units","2015_100","2015=100",207.8312,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units","2015_100","2015=100",209.6879,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-05","May-2021","IDX","Index","0","Units","2015_100","2015=100",211.5492,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units","2015_100","2015=100",214.4736,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-07","Jul-2021","IDX","Index","0","Units","2015_100","2015=100",218.8605,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-08","Aug-2021","IDX","Index","0","Units","2015_100","2015=100",222.6006,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-09","Sep-2021","IDX","Index","0","Units","2015_100","2015=100",225.7655,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-10","Oct-2021","IDX","Index","0","Units","2015_100","2015=100",229.207,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-11","Nov-2021","IDX","Index","0","Units","2015_100","2015=100",232.806,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2021-12","Dec-2021","IDX","Index","0","Units","2015_100","2015=100",236.5582,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2022-01","Jan-2022","IDX","Index","0","Units","2015_100","2015=100",239.3708,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2022-02","Feb-2022","IDX","Index","0","Units","2015_100","2015=100",241.1543,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2022-03","Mar-2022","IDX","Index","0","Units","2015_100","2015=100",243.0704,,
"MANM","Narrow Money (M1) Index, SA","AUS","Australia","M","Monthly","2022-04","Apr-2022","IDX","Index","0","Units","2015_100","2015=100",245.0814,,
