"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","AUS","Australia","A","Annual","2020","2020","NATUSD","National currency per US dollar","0","Units",,,1.453532,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","A","Annual","2021","2021","NATUSD","National currency per US dollar","0","Units",,,1.331484,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,1.441797,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","NATUSD","National currency per US dollar","0","Units",,,1.520858,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","NATUSD","National currency per US dollar","0","Units",,,1.525713,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","NATUSD","National currency per US dollar","0","Units",,,1.397979,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","NATUSD","National currency per US dollar","0","Units",,,1.369576,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","NATUSD","National currency per US dollar","0","Units",,,1.293753,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","NATUSD","National currency per US dollar","0","Units",,,1.298973,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","NATUSD","National currency per US dollar","0","Units",,,1.360656,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","NATUSD","National currency per US dollar","0","Units",,,1.372555,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,1.382418,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,1.397346,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","NATUSD","National currency per US dollar","0","Units",,,1.463886,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2022-Q4","Q4-2022","NATUSD","National currency per US dollar","0","Units",,,1.523538,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,1.460553,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,1.496276,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-01","Jan-2020","NATUSD","National currency per US dollar","0","Units",,,1.454661,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-02","Feb-2020","NATUSD","National currency per US dollar","0","Units",,,1.49859,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-03","Mar-2020","NATUSD","National currency per US dollar","0","Units",,,1.609323,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-04","Apr-2020","NATUSD","National currency per US dollar","0","Units",,,1.590705,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-05","May-2020","NATUSD","National currency per US dollar","0","Units",,,1.536386,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-06","Jun-2020","NATUSD","National currency per US dollar","0","Units",,,1.45005,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-07","Jul-2020","NATUSD","National currency per US dollar","0","Units",,,1.423043,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-08","Aug-2020","NATUSD","National currency per US dollar","0","Units",,,1.388981,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-09","Sep-2020","NATUSD","National currency per US dollar","0","Units",,,1.381914,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-10","Oct-2020","NATUSD","National currency per US dollar","0","Units",,,1.402995,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-11","Nov-2020","NATUSD","National currency per US dollar","0","Units",,,1.376791,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2020-12","Dec-2020","NATUSD","National currency per US dollar","0","Units",,,1.328943,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-01","Jan-2021","NATUSD","National currency per US dollar","0","Units",,,1.294495,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-02","Feb-2021","NATUSD","National currency per US dollar","0","Units",,,1.289795,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-03","Mar-2021","NATUSD","National currency per US dollar","0","Units",,,1.29697,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-04","Apr-2021","NATUSD","National currency per US dollar","0","Units",,,1.300759,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-05","May-2021","NATUSD","National currency per US dollar","0","Units",,,1.28879,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-06","Jun-2021","NATUSD","National currency per US dollar","0","Units",,,1.307368,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-07","Jul-2021","NATUSD","National currency per US dollar","0","Units",,,1.346964,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-08","Aug-2021","NATUSD","National currency per US dollar","0","Units",,,1.369168,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-09","Sep-2021","NATUSD","National currency per US dollar","0","Units",,,1.365836,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-10","Oct-2021","NATUSD","National currency per US dollar","0","Units",,,1.352767,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-11","Nov-2021","NATUSD","National currency per US dollar","0","Units",,,1.367691,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2021-12","Dec-2021","NATUSD","National currency per US dollar","0","Units",,,1.397209,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,1.392743,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,1.397155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,1.357357,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,1.351738,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,1.418296,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,1.422005,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,1.459024,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,1.436478,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.496155,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.570795,,
